UNHID#,Unique_Name,Site_TF_AI,Site_TF,SampleType_Final,Project,Sub_Project,Sub_ProjectA,NPOCf_value,NPOCf,NPOCf_notes,TDNf_value,TDNf,TDNf_notes,DONf_value,DONf,DONf_notes,NO3_Comb,NO3_Combf_value,NO3_Combf,NO3_Combf_notes,NH4ugNL_Comb,NH4_Combf_value,NH4_Combf,NH4_Combf_notes,PO4_Lachatf_value,PO4ugPL_Comb,PO4_Combf_value,PO4_Combf,PO4_Combf_notes,SiO2f_value,SiO2f,SiO2f_notes,Clf_value,Clf,Clf_notes,Naf_value,Naf,Naf_Notes,SO4f_value,SO4f,SO4f_notes,Kf_value,Kf,Kf_Notes,Mgf_value,Mgf,Mgf_Notes,Caf_value,Caf,Caf_Notes,pHf_value,pHf,pHf_notes,Condf_value,condf,condf_notes,Spec_Condf_value,Spec_Condf,Spec_Condf_notes,Volumef_value,Volumef,Volumef_notes,WRRCBenchtoppH.pHf_value,WRRCBenchtoppH.pHf,WRRCBenchtoppH.pHf_notes,ClosedCellpHf_value,ClosedCellpHf,ClosedCellpHf_notes,ConductivityuScmf_value,ConductivityuScmf,ConductivityuScmf_notes,WRRCOxalate.Oxalatef_value,OxalatemgLf_value,Oxalate_Comb,Oxalate_Combf_value,Oxalate_Combf,Oxalate_Combf_notes,Acetatef_value,Acetatef,Acetatef_notes,Formatef_value,Formatef,Formatef_notes
40323,ppt1Thomp,TF or AI,TF,Precipitation,Lamprey,Wet Deposition, , , , , ,2, , ,2, ,.587972933520379, ,2, ,332.413865206539, ,2, , ,5.56308327626447, ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40324,ppt2Lee, , ,Precipitation,Lamprey,Weekly, , , , , ,0, , , , , , , , , , , , , ,29.5729773940142, ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40517,ppt1Thomp,TF or AI,TF,Precipitation,Lamprey,Wet Deposition, , ,2, , ,2, , ,2, ,.146, ,2, ,54.0796433493676, ,2, , ,11.3029169595675, ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40518,ppt2Lee, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.117, ,0, ,463.547976335746, ,0, , ,19.5764061194498, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40559,ppt1Thomp,TF or AI,TF,Precipitation,Lamprey,Wet Deposition, , ,2, , ,2, , ,2, ,.294, ,2, ,190.428205285861, ,2, , ,3.79594719533496, ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40560,ppt2Lee, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.498, ,0, ,1164.82411794454, ,0, , ,5.51758613901569, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
40561,ppt3Epp, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.478, ,0, ,229.978932100239, ,0, , ,0, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41105,ppt1Thomp,TF or AI,TF,Precipitation,Lamprey,Wet Deposition, , ,2, , ,2, , ,2, ,.0516780105936714, ,2, ,19.3950589044677, ,2, , ,9.78331345825115, ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41106,ppt3Epp, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.074, ,0, ,25.2777274536455, ,0, , ,3.6478880682033, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41108,ppt1Thomp,TF or AI,TF,Precipitation,Lamprey,Wet Deposition, , ,2, , ,2, , ,2, ,.045, ,2, ,37.4471932821221, ,2, , ,18.1768984991059,18.1768984991059,4,"Michelle flag, high conc. relative to collector precip mm", ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41109,ppt2Lee, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.071, ,0, ,158.377728015527, ,0, , ,6.91579268863959, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
41110,ppt3Epp, , ,Precipitation,Lamprey,Weekly, , ,0, , ,0, , ,0, ,.055, ,0, ,40.7305890454874, ,0, , ,3.83193178655524, ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , ,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
