UNH ID #,Sample Name,Collection Date,Collection Time,Project,Sub_Project,Sub_ProjectA,NPOC (mg C/L),TDN (mg N/L),DON,NO3_Final,NO3_Status,NO3_Cd,NH4 (ug N/L),NH4_IC,Cation Run Date,Cl (mg Cl/L),NO3 (mg N/L),SO4 (mg S/L),Na (mg Na/L),K (mg K/L),Mg (mg Mg/L),Ca (mg Ca/L),PO4 (ug P/L),PO4 (ugP/L),SiO2 (mg SiO2/L),WRRC sample info.pH,WRRC sample info.Cond,Spec_Cond,DO_Conc,DO%,Temperature,DTWT,Volume,Field Notes,Lab_Notes,Sample Type,Logger,WRRC Benchtop pH.pH,Closed Cell pH,Conductivity (uS/cm),WRRC Oxalate.Oxalate,Acetate (mg/L),Formate (mg/L),Oxalate (mg/L),Year,Start_Date_Time,BatchID
40323,ppt1Thomp,18-Nov-03,1:00:00 PM,Lamprey,Wet Deposition,,,1.08,0.16,0.59,good,,332.41,,18-Apr-06,0.64,0.59,0.91,0.49,0.10,0.02,0.30,5.56,,0.11,,,,,,,,198.5,,Deleted NPOC still high (6.78 mg/L) after RR,Precipitation,Michelle Daley,,,,,,,,2003,,
40324,ppt2Lee,18-Nov-03,1:15:00 PM,Lamprey,Weekly,,,3.37,,,2 values,,,,,,,,,,,,29.57,,,,,,,,,,,"Funnel blown off, volume not accurate, bugs in sample",Deleted NPOC (7.25) NH4 (3034),Precipitation,Michelle Daley,,,,,,,,2003,,
40517,ppt1Thomp,25-Nov-03,11:00:00 AM,Lamprey,Wet Deposition,,0.99,0.30,0.10,0.15,good,,54.08,,14-Apr-04,1.53,0.15,0.28,1.10,0.00,0.02,0.00,11.30,,0.11,,,,,,,,599.5,,,Precipitation,Michelle Daley,,,,,,,,2003,,
40518,ppt2Lee,25-Nov-03,,Lamprey,Weekly,,2.03,1.30,0.72,0.12,good,,463.55,,26-Apr-04,3.28,0.12,0.41,2.17,0.17,0.22,0.32,19.58,,0.16,,,,,,,,,Funnel blew off last night,,Precipitation,Michelle Daley,,,,,,,,2003,,
40559,ppt1thomp,02-Dec-03,1:50:00 PM,Lamprey,Wet Deposition,,0.74,0.47,-0.02,0.29,good,,190.43,,26-Apr-04,0.85,0.29,0.61,0.52,0.00,0.04,0.07,3.80,,0.09,,,,,,,,905,,,Precipitation,Michelle Daley,,,,,,,,2003,,
40560,ppt2Lee,02-Dec-03,2:15:00 PM,Lamprey,Weekly,,1.00,1.71,0.05,0.50,good,,1164.82,,14-Apr-04,1.10,0.50,0.94,2.02,0.00,0.00,0.05,5.52,,0.02,,,,,,,,,,,Precipitation,Michelle Daley,,,,,,,,2003,,
40561,ppt3Epp,02-Dec-03,3:00:00 PM,Lamprey,Weekly,,0.84,0.72,0.01,0.48,good,,229.98,,26-Apr-04,1.02,0.48,0.78,0.56,0.11,0.07,0.09,0.00,,0.00,,,,,,,,,Funnel Blown off,,Precipitation,Michelle Daley,,,,,,,,2003,,
41105,ppt1Thomp,09-Dec-03,12:45:00 PM,Lamprey,Wet Deposition,,0.38,0.08,0.01,0.05,good,,19.40,,18-Apr-06,0.38,0.05,0.13,0.30,0.05,0.01,0.05,9.78,,0.02,,,,,,,,188,"little vol and had approx 8"" of snow..wind?, no collection from 1:50 pm 12/2/03 until 12/3/03",,Precipitation,Michelle Daley,,,,,,,,2003,,
41106,ppt3Epp,09-Dec-03,1:45:00 PM,Lamprey,Weekly,,0.42,0.11,0.01,0.07,good,,25.28,,26-Apr-04,1.21,0.07,0.12,0.45,0.12,0.08,0.11,3.65,,0.00,,,,,,,,,"funnel was full of snow, saved snow, sample limited, replaced funnels with buckets today",,Precipitation,Michelle Daley,,,,,,,,2003,,
41108,ppt1Thomp,16-Dec-03,11:15:00 AM,Lamprey,Wet Deposition,,0.31,0.10,0.02,0.05,good,,37.45,,14-Apr-04,1.96,0.05,0.20,0.95,0.00,0.07,0.00,18.18,,0.02,,,,,,,,4068,,,Precipitation,Michelle Daley,,,,,,,,2003,,
41109,ppt2Lee,16-Dec-03,12:00:00 PM,Lamprey,Weekly,,0.42,0.21,-0.02,0.07,good,,158.38,,26-Apr-04,2.14,0.07,0.27,1.20,0.00,0.14,0.09,6.92,,0.03,,,,,,,,3894.5,,,Precipitation,Michelle Daley,,,,,,,,2003,,
41110,ppt3Epp,16-Dec-03,12:30:00 PM,Lamprey,Weekly,,0.09,0.10,0.00,0.06,good,,40.73,,26-Apr-04,1.46,0.06,0.21,0.67,0.04,0.11,0.08,3.83,,0.01,,,,,,,,4595,,,Precipitation,Michelle Daley,,,,,,,,2003,,
41111,ppt4Ray,16-Dec-03,2:00:00 PM,Lamprey,Weekly,,0.07,0.10,0.02,0.05,good,,31.84,,14-Apr-04,1.01,0.05,0.21,0.55,0.00,0.00,0.00,4.31,,0.01,,,,,,,,4098.5,,,Precipitation,Michelle Daley,,,,,,,,2003,,
41185,ppt1Thomp,23-Dec-03,11:00:00 AM,Lamprey,Wet Deposition,,0.36,0.15,0.00,0.10,good,,52.97,,18-Apr-06,2.97,0.10,0.42,1.82,0.10,0.28,0.13,4.16,,0.05,,,,,,,,670.5,,,Precipitation,Michelle Daley,,,,,,,,2003,,
41186,ppt2Lee,23-Dec-03,11:15:00 AM,Lamprey,Weekly,,0.99,1.47,-0.03,0.46,good,,1044.23,,18-Apr-06,5.00,0.46,1.23,2.97,0.15,0.37,0.32,13.43,,0.02,,,,,,,,343.5,,,Precipitation,Michelle Daley,,,,,,,,2003,,
41187,ppt3Epp,23-Dec-03,11:45:00 AM,Lamprey,Weekly,,0.58,0.38,-0.02,0.30,good,,103.00,,14-Apr-04,3.81,0.30,0.79,2.16,0.14,0.23,0.18,9.62,,0.03,,,,,,,,408,,,Precipitation,Michelle Daley,,,,,,,,2003,,
41188,ppt4Ray,23-Dec-03,12:20:00 PM,Lamprey,Weekly,,0.36,0.34,-0.01,0.27,good,,82.03,,14-Apr-04,2.84,0.27,0.67,2.07,0.00,0.10,0.07,11.52,,0.02,,,,,,,,833,,,Precipitation,Michelle Daley,,,,,,,,2003,,
41189,ppt5Pawt,23-Dec-03,12:45:00 PM,Lamprey,Weekly,,0.43,0.29,-0.02,0.23,good,,81.92,,26-Apr-04,1.98,0.23,0.53,1.53,0.00,0.15,0.13,2.54,,0.02,,,,,,,,967.5,,,Precipitation,Michelle Daley,,,,,,,,2003,,
41191,ppt1Thomp,30-Dec-03,12:45:00 PM,Lamprey,Wet Deposition,,0.39,0.14,0.00,0.09,good,,43.65,,18-Apr-06,1.75,0.09,0.36,1.10,0.11,0.20,0.11,7.13,,0.02,,,,,,,,827.5,,,Precipitation,Michelle Daley,,,,,,,,2003,,
41192,ppt2Lee,30-Dec-03,3:00:00 PM,Lamprey,Weekly,,1.52,2.35,0.14,0.40,good,,1805.62,,14-Apr-04,3.32,0.40,1.95,4.81,0.00,0.28,0.13,10.71,,0.03,,,,,,,,392.5,,,Precipitation,Michelle Daley,,,,,,,,2003,,
