siteID,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,Na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,flagBr,Br,svol,ppt,subppt,valcode,invalcode,modifiedOn
NH02,NA0015OW,"1978-07-25 12:30","1978-08-01 13:00",197807,4.060,41.000," ",.090," ",.035," ",.028," ",.085," ",.260," ",2.150," ",.210," ",4.370,0,-9,1189.300,17.780,17.780,"w ","            ",1995-01-30
NH02,NA0021OW,"1978-08-01 13:00","1978-08-08 13:00",197808,4.100,36.300," ",.060," ",.041," ",.023," ",.089," ",.120," ",2.020," ",.450," ",3.170,0,-9,1285.900,20.320,20.320,"w ","            ",1985-05-17
NH02,NA0025OW,"1978-08-08 13:00","1978-08-15 13:00",197808,3.970,73.700," ",.880," ",1.325," ",.022," ",.490," ",.480," ",2.020," ",7.050," ",5.550,0,-9,484.100,7.370,7.370,"w ","            ",1985-05-17
NH02,NA0029OW,"1978-08-15 13:00","1978-08-22 13:00",197808,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,63.600,.760,.760,"  ","c           ",1988-06-13
NH02,NA0036OW,"1978-08-22 13:00","1978-08-29 13:00",197808,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,3238.500,49.530,49.530,"  ","f           ",1988-06-13
NH02,N@0011OW,"1978-08-29 00:00","1978-09-05 00:00",197809,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,-9.000,-9.990,-9.990,"  ","np          ",1985-05-17
NH02,NA0039OW,"1978-09-05 13:00","1978-09-12 13:00",197809,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,1665.000,19.300,19.300,"  ","f           ",1988-06-13
NH02,NA0041OW,"1978-09-12 13:00","1978-09-19 13:00",197809,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,300.800,5.080,5.080,"  ","f           ",1988-06-13
NH02,N@0027OW,"1978-09-19 00:00","1978-09-26 00:00",197809,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,-9.000,-9.990,-9.990,"  ","np          ",1985-05-17
NH02,NA0046OW,"1978-09-26 13:00","1978-10-03 13:00",197809,4.100,32.800," ",.120," ",.103," ",.048," ",.683," ",.290," ",2.350," ",1.270," ",4.300,0,-9,1056.000,15.240,15.240,"w ","            ",1985-05-17
NH02,NA0057OW,"1978-10-03 13:00","1978-10-11 13:00",197810,4.500,11.100," ",.110," ",.025," ",.035," ",.101," ",.040," ",.750," ",.130," ",1.650,0,-9,1714.000,25.650,25.650,"w ","            ",1985-05-17
NH02,NA0065OW,"1978-10-11 13:00","1978-10-17 13:00",197810,3.970,44.500," ",.070," ",.025," ",.022," ",.115," ",.280," ",3.600," ",.230," ",3.850,0,-9,1514.000,22.860,22.860,"w ","            ",1985-05-17
NH02,NA0081OW,"1978-10-17 13:00","1978-10-24 13:00",197810,4.360,22.200," ",.300," ",.061," ",.079," ",.184," ",.130," ",2.350," ",.280," ",2.300,0,-9,351.000,5.080,5.080,"w ","            ",1985-05-17
NH02,NA0098OW,"1978-10-24 13:00","1978-10-31 14:00",197810,4.180,26.900," ",.230," ",.071," ",.053," ",.156," ",.180," ",3.200," ",.530," ",2.840,0,-9,708.000,12.190,12.190,"w ","            ",1985-05-17
NH02,NA0116OW,"1978-10-31 14:00","1978-11-07 14:00",197811,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,-9.000,.000,.000,"d ","            ",1988-06-13
NH02,NA0132OW,"1978-11-07 14:00","1978-11-14 14:00",197811,4.450,15.700," ",.110," ",.030," ",.027," ",.152," ",.040," ",1.250," ",.100," ",1.350,0,-9,303.000,4.320,4.320,"w ","            ",1985-05-17
NH02,NA0157OW,"1978-11-14 14:00","1978-11-21 14:00",197811,4.440,10.800," ",.050," ",.024," ",.009," ",.160," ",.110," ",.750," ",.190," ",1.400,0,-9,2117.000,33.020,33.020,"w ","            ",1985-05-17
NH02,NA0178OW,"1978-11-21 14:00","1978-11-28 18:30",197811,4.510,11.900," ",.040," ",.011," ",.006," ",.053,<,.020," ",.900," ",.060," ",.850,0,-9,1459.000,24.380,24.380,"w ","            ",1985-05-17
NH02,NA0203OW,"1978-11-28 18:30","1978-12-05 14:00",197812,4.150,27.300," ",.220," ",.045," ",.010," ",.115," ",.100," ",2.500," ",.250," ",2.200,0,-9,1195.000,19.300,19.300,"w ","            ",1985-05-17
NH02,NA0221OW,"1978-12-05 14:00","1978-12-12 14:00",197812,4.140,20.500," ",.130," ",.026,<,.002," ",.094," ",.070," ",2.320," ",.150," ",1.950,0,-9,1355.000,23.110,23.110,"w ","            ",1985-05-17
NH02,NA0238OW,"1978-12-12 14:00","1978-12-19 14:00",197812,4.140,22.200," ",.180," ",.047," ",.031," ",.072," ",.090," ",3.320," ",.210," ",1.050,0,-9,789.000,14.480,14.480,"w ","            ",1985-05-17
